INFO 2024-08-29 03:03:14,019 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-29 03:03:14,042 autoreload Waiting for apps ready_event.
DEBUG 2024-08-29 03:03:15,230 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-29 03:03:15,293 autoreload Watching dir C:\Python311\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-08-29 03:03:15,294 autoreload Watching dir C:\Users\hp\Desktop\CAAD-LMS\cms_backend_projecttccs\locale with glob **/*.mo.
DEBUG 2024-08-29 03:03:15,295 autoreload Watching dir C:\Users\hp\Desktop\CAAD-LMS\cms_backend_projecttccs\myapp\locale with glob **/*.mo.
DEBUG 2024-08-29 03:03:15,297 autoreload Watching dir C:\Python311\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-08-29 03:03:15,375 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-08-29 03:03:15,381 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-08-29 03:03:15,665 autoreload File C:\Python311\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1721567782.547195
DEBUG 2024-08-29 03:03:15,668 autoreload File C:\Python311\Lib\typing.py first seen with mtime 1692871152.0
DEBUG 2024-08-29 03:03:15,669 autoreload File C:\Python311\Lib\site-packages\urllib3\contrib\__init__.py first seen with mtime 1694173366.8186693
DEBUG 2024-08-29 03:03:15,670 autoreload File C:\Python311\Lib\site-packages\rest_framework\utils\__init__.py first seen with mtime 1724756022.5626554
DEBUG 2024-08-29 03:03:15,670 autoreload File C:\Python311\Lib\site-packages\pytz\tzfile.py first seen with mtime 1722937610.3514502
DEBUG 2024-08-29 03:03:15,671 autoreload File C:\Python311\Lib\site-packages\django\template\autoreload.py first seen with mtime 1721567781.872079
DEBUG 2024-08-29 03:03:15,672 autoreload File C:\Python311\Lib\site-packages\django\urls\conf.py first seen with mtime 1721567782.0955281
DEBUG 2024-08-29 03:03:15,672 autoreload File C:\Python311\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1721567779.1881635
DEBUG 2024-08-29 03:03:15,674 autoreload File C:\Python311\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1721567782.29309
DEBUG 2024-08-29 03:03:15,674 autoreload File C:\Python311\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1721567780.5150628
DEBUG 2024-08-29 03:03:15,676 autoreload File C:\Python311\Lib\site-packages\asgiref\local.py first seen with mtime 1721567773.0024376
DEBUG 2024-08-29 03:03:15,677 autoreload File C:\Python311\Lib\site-packages\django\template\response.py first seen with mtime 1721567781.9199486
DEBUG 2024-08-29 03:03:15,679 autoreload File C:\Python311\Lib\asyncio\proactor_events.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,680 autoreload File C:\Python311\Lib\encodings\utf_8.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,681 autoreload File C:\Python311\Lib\site-packages\urllib3\_version.py first seen with mtime 1694173366.8079143
DEBUG 2024-08-29 03:03:15,682 autoreload File C:\Python311\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1721567780.5057094
DEBUG 2024-08-29 03:03:15,684 autoreload File C:\Python311\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1721567780.540599
DEBUG 2024-08-29 03:03:15,684 autoreload File C:\Python311\Lib\site-packages\django\core\validators.py first seen with mtime 1721567780.408991
DEBUG 2024-08-29 03:03:15,685 autoreload File C:\Python311\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1721567780.9525292
DEBUG 2024-08-29 03:03:15,686 autoreload File C:\Python311\Lib\html\entities.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,687 autoreload File C:\Python311\Lib\site-packages\requests\models.py first seen with mtime 1722604878.3600652
DEBUG 2024-08-29 03:03:15,687 autoreload File C:\Python311\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1721567775.8855608
DEBUG 2024-08-29 03:03:15,690 autoreload File C:\Python311\Lib\ctypes\__init__.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,693 autoreload File C:\Python311\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1721567781.1401007
DEBUG 2024-08-29 03:03:15,694 autoreload File C:\Python311\Lib\site-packages\django\core\mail\message.py first seen with mtime 1721567780.5600533
DEBUG 2024-08-29 03:03:15,694 autoreload File C:\Python311\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1721567781.1330066
DEBUG 2024-08-29 03:03:15,695 autoreload File C:\Python311\Lib\site-packages\django\db\backends\sqlite3\_functions.py first seen with mtime 1721567780.9238918
DEBUG 2024-08-29 03:03:15,695 autoreload File C:\Python311\Lib\site-packages\rest_framework\schemas\inspectors.py first seen with mtime 1724756022.310227
DEBUG 2024-08-29 03:03:15,697 autoreload File C:\Python311\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1721567781.0667653
DEBUG 2024-08-29 03:03:15,698 autoreload File C:\Python311\Lib\site-packages\django\template\__init__.py first seen with mtime 1721567781.8687513
DEBUG 2024-08-29 03:03:15,700 autoreload File C:\Python311\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1721567781.1661165
DEBUG 2024-08-29 03:03:15,702 autoreload File C:\Python311\Lib\site-packages\django\shortcuts.py first seen with mtime 1721567773.2671483
DEBUG 2024-08-29 03:03:15,703 autoreload File C:\Users\hp\Desktop\CAAD-LMS\cms_backend_projecttccs\cms_backend_projecttccs\urls.py first seen with mtime 1724879767.2264564
DEBUG 2024-08-29 03:03:15,704 autoreload File C:\Python311\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1721567780.9448116
DEBUG 2024-08-29 03:03:15,704 autoreload File C:\Python311\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1721567775.8779626
DEBUG 2024-08-29 03:03:15,707 autoreload File C:\Python311\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1721567782.1910894
DEBUG 2024-08-29 03:03:15,708 autoreload File C:\Python311\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1721567782.531546
DEBUG 2024-08-29 03:03:15,710 autoreload File C:\Python311\Lib\platform.py first seen with mtime 1692871152.0
DEBUG 2024-08-29 03:03:15,711 autoreload File C:\Python311\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1721567775.3962247
DEBUG 2024-08-29 03:03:15,711 autoreload File C:\Python311\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1721567782.5058148
DEBUG 2024-08-29 03:03:15,713 autoreload File C:\Python311\Lib\site-packages\rest_framework\templatetags\rest_framework.py first seen with mtime 1724756022.5626554
DEBUG 2024-08-29 03:03:15,715 autoreload File C:\Python311\Lib\asyncio\locks.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,716 autoreload File C:\Python311\Lib\site-packages\django\contrib\postgres\forms\hstore.py first seen with mtime 1721567778.7045581
DEBUG 2024-08-29 03:03:15,717 autoreload File C:\Python311\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1721567780.7810664
DEBUG 2024-08-29 03:03:15,719 autoreload File C:\Python311\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1721567781.1287363
DEBUG 2024-08-29 03:03:15,721 autoreload File C:\Python311\DLLs\_bz2.pyd first seen with mtime 1692871200.0
DEBUG 2024-08-29 03:03:15,722 autoreload File C:\Python311\Lib\site-packages\rest_framework\urls.py first seen with mtime 1724756022.1410334
DEBUG 2024-08-29 03:03:15,723 autoreload File C:\Python311\Lib\asyncio\exceptions.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,725 autoreload File C:\Python311\Lib\site-packages\django\utils\crypto.py first seen with mtime 1721567782.1851077
DEBUG 2024-08-29 03:03:15,726 autoreload File C:\Python311\Lib\asyncio\runners.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,727 autoreload File C:\Python311\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1721567780.388394
DEBUG 2024-08-29 03:03:15,727 autoreload File C:\Python311\Lib\site-packages\rest_framework\validators.py first seen with mtime 1724756022.1428697
DEBUG 2024-08-29 03:03:15,728 autoreload File C:\Python311\Lib\weakref.py first seen with mtime 1692871152.0
DEBUG 2024-08-29 03:03:15,728 autoreload File C:\Python311\Lib\site-packages\urllib3\util\request.py first seen with mtime 1694173366.834089
DEBUG 2024-08-29 03:03:15,729 autoreload File C:\Python311\Lib\site-packages\django\contrib\sessions\backends\__init__.py first seen with mtime 1721567779.1911552
DEBUG 2024-08-29 03:03:15,729 autoreload File C:\Python311\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1721567778.6515481
DEBUG 2024-08-29 03:03:15,730 autoreload File C:\Python311\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1721567781.094229
DEBUG 2024-08-29 03:03:15,730 autoreload File C:\Python311\Lib\site-packages\django\utils\http.py first seen with mtime 1721567782.2815468
DEBUG 2024-08-29 03:03:15,731 autoreload File C:\Python311\Lib\_compat_pickle.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,731 autoreload File C:\Python311\Lib\site-packages\charset_normalizer\legacy.py first seen with mtime 1716841456.40011
DEBUG 2024-08-29 03:03:15,735 autoreload File C:\Python311\Lib\site-packages\django\http\request.py first seen with mtime 1721567781.8061378
DEBUG 2024-08-29 03:03:15,736 autoreload File C:\Python311\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1721567780.3769064
DEBUG 2024-08-29 03:03:15,736 autoreload File C:\Python311\Lib\site-packages\django\core\files\images.py first seen with mtime 1721567780.4927204
DEBUG 2024-08-29 03:03:15,737 autoreload File C:\Python311\Lib\copy.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,738 autoreload File C:\Python311\Lib\site-packages\charset_normalizer\version.py first seen with mtime 1716841456.418371
DEBUG 2024-08-29 03:03:15,738 autoreload File C:\Python311\Lib\site-packages\django\db\models\query.py first seen with mtime 1721567781.089325
DEBUG 2024-08-29 03:03:15,739 autoreload File C:\Python311\Lib\ctypes\wintypes.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,739 autoreload File C:\Python311\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1721567667.523002
DEBUG 2024-08-29 03:03:15,740 autoreload File C:\Python311\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1721567774.1010022
DEBUG 2024-08-29 03:03:15,740 autoreload File C:\Python311\Lib\argparse.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,742 autoreload File C:\Python311\Lib\asyncio\windows_events.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,742 autoreload File C:\Python311\Lib\fractions.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,743 autoreload File C:\Python311\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1721567781.0375073
DEBUG 2024-08-29 03:03:15,744 autoreload File C:\Python311\Lib\concurrent\__init__.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,744 autoreload File C:\Python311\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1721567774.0960977
DEBUG 2024-08-29 03:03:15,745 autoreload File C:\Python311\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1721567775.8749716
DEBUG 2024-08-29 03:03:15,746 autoreload File C:\Python311\Lib\site-packages\django\core\checks\database.py first seen with mtime 1721567780.4418523
DEBUG 2024-08-29 03:03:15,746 autoreload File C:\Python311\Lib\site-packages\urllib3\util\url.py first seen with mtime 1694173366.8441107
DEBUG 2024-08-29 03:03:15,747 autoreload File C:\Python311\Lib\site-packages\requests\structures.py first seen with mtime 1722604878.3648982
DEBUG 2024-08-29 03:03:15,748 autoreload File C:\Python311\DLLs\_ssl.pyd first seen with mtime 1692871200.0
DEBUG 2024-08-29 03:03:15,748 autoreload File C:\Python311\Lib\token.py first seen with mtime 1692871152.0
DEBUG 2024-08-29 03:03:15,749 autoreload File C:\Python311\Lib\site-packages\django\contrib\postgres\__init__.py first seen with mtime 1721567778.6708632
DEBUG 2024-08-29 03:03:15,751 autoreload File C:\Python311\Lib\logging\config.py first seen with mtime 1692871152.0
DEBUG 2024-08-29 03:03:15,752 autoreload File C:\Python311\Lib\asyncio\base_tasks.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,753 autoreload File C:\Python311\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1721567773.2756557
DEBUG 2024-08-29 03:03:15,754 autoreload File C:\Python311\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1721567782.5010495
DEBUG 2024-08-29 03:03:15,754 autoreload File C:\Python311\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1721567776.4339292
DEBUG 2024-08-29 03:03:15,755 autoreload File C:\Python311\Lib\decimal.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,755 autoreload File C:\Python311\Lib\asyncio\base_futures.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,756 autoreload File C:\Python311\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1721567781.2009826
DEBUG 2024-08-29 03:03:15,756 autoreload File C:\Python311\Lib\string.py first seen with mtime 1692871152.0
DEBUG 2024-08-29 03:03:15,757 autoreload File C:\Python311\DLLs\_lzma.pyd first seen with mtime 1692871200.0
DEBUG 2024-08-29 03:03:15,758 autoreload File C:\Python311\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1721567780.789816
